text,ham_label
We are pleased to offer you the position of Software Engineer at Nova Systems. Please review the attached offer letter. Ref:JOB-0001,job_offer
We are pleased to offer you the position of Data Analyst at Orion Tech. Please review the attached offer letter. Ref:JOB-0002,job_offer
We are pleased to offer you the position of ML Engineer at MapleWorks. Please review the attached offer letter. Ref:JOB-0003,job_offer
We are pleased to offer you the position of Product Analyst at Aster Digital. Please review the attached offer letter. Ref:JOB-0004,job_offer
Skyline Data is happy to confirm your selection. Please accept your Software Engineer offer by Friday. Ref:JOB-0005,job_offer
We are pleased to offer you the position of Product Analyst at Nova Systems. Please review the attached offer letter. Ref:JOB-0006,job_offer
"Congratulations, Liam. You have been selected for Software Engineer. Compensation details from Orion Tech are enclosed. Ref:JOB-0007",job_offer
BluePeak is happy to confirm your selection. Please accept your ML Engineer offer by Friday. Ref:JOB-0008,job_offer
Aster Digital is happy to confirm your selection. Please accept your Software Engineer offer by Friday. Ref:JOB-0009,job_offer
Skyline Data is happy to confirm your selection. Please accept your Product Analyst offer by Friday. Ref:JOB-0010,job_offer
Skyline Data is happy to confirm your selection. Please accept your Product Analyst offer by Friday. Ref:JOB-0011,job_offer
"Congratulations, Ethan. You have been selected for Product Analyst. Compensation details from Acme Labs are enclosed. Ref:JOB-0012",job_offer
Nova Systems is happy to confirm your selection. Please accept your Product Analyst offer by Friday. Ref:JOB-0013,job_offer
"Congratulations, Ethan. You have been selected for QA Engineer. Compensation details from Orion Tech are enclosed. Ref:JOB-0014",job_offer
"Congratulations, Ava. You have been selected for Product Analyst. Compensation details from Acme Labs are enclosed. Ref:JOB-0015",job_offer
"Congratulations, Liam. You have been selected for Product Analyst. Compensation details from Nova Systems are enclosed. Ref:JOB-0016",job_offer
"Congratulations, Ethan. You have been selected for Data Analyst. Compensation details from MapleWorks are enclosed. Ref:JOB-0017",job_offer
"Congratulations, Arjun. You have been selected for Software Engineer. Compensation details from Zenith Corp are enclosed. Ref:JOB-0018",job_offer
We are pleased to offer you the position of Software Engineer at Nova Systems. Please review the attached offer letter. Ref:JOB-0019,job_offer
We are pleased to offer you the position of Software Engineer at MapleWorks. Please review the attached offer letter. Ref:JOB-0020,job_offer
We are pleased to offer you the position of QA Engineer at Acme Labs. Please review the attached offer letter. Ref:JOB-0021,job_offer
"Congratulations, Noah. You have been selected for Product Analyst. Compensation details from Nova Systems are enclosed. Ref:JOB-0022",job_offer
We are pleased to offer you the position of ML Engineer at Zenith Corp. Please review the attached offer letter. Ref:JOB-0023,job_offer
"Congratulations, Liam. You have been selected for Backend Developer. Compensation details from Acme Labs are enclosed. Ref:JOB-0024",job_offer
We are pleased to offer you the position of Backend Developer at BluePeak. Please review the attached offer letter. Ref:JOB-0025,job_offer
"Congratulations, Ethan. You have been selected for ML Engineer. Compensation details from BluePeak are enclosed. Ref:JOB-0026",job_offer
"Congratulations, Ava. You have been selected for Software Engineer. Compensation details from Acme Labs are enclosed. Ref:JOB-0027",job_offer
We are pleased to offer you the position of Product Analyst at MapleWorks. Please review the attached offer letter. Ref:JOB-0028,job_offer
We are pleased to offer you the position of ML Engineer at Skyline Data. Please review the attached offer letter. Ref:JOB-0029,job_offer
We are pleased to offer you the position of Software Engineer at MapleWorks. Please review the attached offer letter. Ref:JOB-0030,job_offer
Aster Digital is happy to confirm your selection. Please accept your ML Engineer offer by Friday. Ref:JOB-0031,job_offer
"Congratulations, Mia. You have been selected for QA Engineer. Compensation details from MapleWorks are enclosed. Ref:JOB-0032",job_offer
Zenith Corp is happy to confirm your selection. Please accept your Backend Developer offer by Friday. Ref:JOB-0033,job_offer
"Congratulations, Ethan. You have been selected for ML Engineer. Compensation details from Orion Tech are enclosed. Ref:JOB-0034",job_offer
"Congratulations, Sofia. You have been selected for Product Analyst. Compensation details from Skyline Data are enclosed. Ref:JOB-0035",job_offer
Skyline Data is happy to confirm your selection. Please accept your Data Analyst offer by Friday. Ref:JOB-0036,job_offer
We are pleased to offer you the position of QA Engineer at BluePeak. Please review the attached offer letter. Ref:JOB-0037,job_offer
