text,label,hard_topic
LinkedIn Jobs: 71 new Backend Developer openings in Pune match your profile.,0,job_alerts
Shipment confirmed for order ORD-108685. Track with AWB AWB99734256 on DTDC.,0,shipping_order
Your saved search 'ML Engineer Bengaluru' has 61 new matches today.,0,job_alerts
Your order ORD-635646 has been shipped via Delhivery. Expected delivery: 19-Jun-2026.,0,shipping_order
Order ORD-970530 delayed due to weather. New delivery date: 11-Sep-2026.,0,shipping_order
Naukri alert: Recruiters viewed your profile 19 times this week. Explore fresh roles.,0,job_alerts
LinkedIn Jobs: 6 new ML Engineer openings in Bengaluru match your profile.,0,job_alerts
LinkedIn Jobs: 29 new Software Engineer openings in Hyderabad match your profile.,0,job_alerts
Your order ORD-834392 has been shipped via India Post. Expected delivery: 08-May-2026.,0,shipping_order
Naukri alert: Recruiters viewed your profile 60 times this week. Explore fresh roles.,0,job_alerts
Receipt: INR 235126 credited to your wallet from bank transfer. Txn ID REF810160.,0,finance_transaction
Naukri alert: Recruiters viewed your profile 3 times this week. Explore fresh roles.,0,job_alerts
Receipt: INR 147639 credited to your wallet from cashback. Txn ID REF466785.,0,finance_transaction
Delivery update: Package ORD-966783 is out for delivery and should arrive by 6 PM.,0,shipping_order
Wells Fargo: Your payment of INR 200291 towards Netflix has been completed. UTR: UTR40851360.,0,finance_transaction
Your return pickup for order ORD-664260 is scheduled on 20-Apr-2026 between 10 AM-1 PM.,0,shipping_order
Your order ORD-224710 has been shipped via UPS. Expected delivery: 28-Apr-2026.,0,shipping_order
HSBC: Your payment of INR 162358 towards Amazon has been completed. UTR: UTR57946109.,0,finance_transaction
Order ORD-898339 delayed due to weather. New delivery date: 08-Sep-2026.,0,shipping_order
Invoice INV-74441 generated for INR 3643. Due date: 02-Apr-2026.,0,finance_transaction
Delivery update: Package ORD-432951 is out for delivery and should arrive by 8 PM.,0,shipping_order
Job alert from Foundit: New openings for QA Engineer at Northbridge and similar companies.,0,job_alerts
Transaction successful: INR 231142 paid to Google Play using UPI. Ref REF735819.,0,finance_transaction
Shipment confirmed for order ORD-174261. Track with AWB AWB39242882 on UPS.,0,shipping_order
Your return pickup for order ORD-660867 is scheduled on 18-Mar-2026 between 6 PM-9 PM.,0,shipping_order
Delivery update: Package ORD-614372 is out for delivery and should arrive by 8 PM.,0,shipping_order
Delivery update: Package ORD-310497 is out for delivery and should arrive by 10 PM.,0,shipping_order
Invoice INV-66966 generated for INR 116196. Due date: 08-Jul-2026.,0,finance_transaction
Chase: Your payment of INR 74918 towards Google Play has been completed. UTR: UTR15006085.,0,finance_transaction
Transaction successful: INR 237122 paid to Swiggy using netbanking. Ref REF844515.,0,finance_transaction
Shipment confirmed for order ORD-588970. Track with AWB AWB83473392 on FedEx.,0,shipping_order
Job alert from Indeed: New openings for ML Engineer at Zenith Labs and similar companies.,0,job_alerts
Invoice INV-60092 generated for INR 156030. Due date: 13-Sep-2026.,0,finance_transaction
Order ORD-865973 delayed due to weather. New delivery date: 06-Nov-2026.,0,shipping_order
Naukri alert: Recruiters viewed your profile 35 times this week. Explore fresh roles.,0,job_alerts
Delivery update: Package ORD-598642 is out for delivery and should arrive by 6 PM.,0,shipping_order
Indeed recommendations: Top Product Manager jobs near Delhi posted in last 24 hours.,0,job_alerts
Transaction successful: INR 207311 paid to Jio using netbanking. Ref REF116945.,0,finance_transaction
Order ORD-248095 delayed due to weather. New delivery date: 21-Mar-2026.,0,shipping_order
Your saved search 'QA Engineer Mumbai' has 39 new matches today.,0,job_alerts
Shipment confirmed for order ORD-626265. Track with AWB AWB49370063 on FedEx.,0,shipping_order
Job alert from Naukri: New openings for QA Engineer at BluePeak and similar companies.,0,job_alerts
ICICI Bank: Your payment of INR 114621 towards Zomato has been completed. UTR: UTR68304442.,0,finance_transaction
Shipment confirmed for order ORD-417413. Track with AWB AWB40118466 on UPS.,0,shipping_order
Job alert from LinkedIn: New openings for Backend Developer at Zenith Labs and similar companies.,0,job_alerts
LinkedIn Jobs: 3 new Software Engineer openings in Chennai match your profile.,0,job_alerts
Receipt: INR 82083 credited to your wallet from salary account. Txn ID REF696956.,0,finance_transaction
Order ORD-785663 delayed due to weather. New delivery date: 24-Jan-2026.,0,shipping_order
Job alert from Indeed: New openings for Data Analyst at Northbridge and similar companies.,0,job_alerts
Transaction successful: INR 112165 paid to Zomato using IMPS. Ref REF445508.,0,finance_transaction
Order ORD-238396 delayed due to weather. New delivery date: 04-Feb-2026.,0,shipping_order
SBI ALERT: INR 64031 debited from A/C ending 1418 via NEFT at Amazon on 27-Jul-2026. Avl bal: INR 455789.,0,finance_transaction
Transaction successful: INR 107315 paid to Myntra using UPI. Ref REF891658.,0,finance_transaction
