text,ham_label
"Thank you for your interest in DeltaStack. After review, we are moving forward with other applicants at this time. Ref:JOB-1393",job_rejection
Use OTP 968315 to complete account verification. Ref:VER-1737,verification_otp
Interview schedule: Orion Tech would like to meet you on 25-Aug-2026 at 11:30 AM. Please confirm availability. Ref:JOB-0121,job_update
Shipment delayed for order ORD-768850. New expected date: 06-Aug-2026. Ref:ORD-1130,order_shipping
Your support request #17966 has been resolved. Please confirm closure. Ref:SUP-1931,support_ticket
Meeting rescheduled: product sync moved to 4:30 PM tomorrow. Ref:MEE-1519,meeting_calendar
Library reminder: your borrowed book is due in 3 days. Ref:OTH-1600,other_ham
Family update: dinner is planned for Sunday evening. Ref:SOC-0825,social_personal
The position has now been filled. We encourage you to apply again for future openings. Ref:JOB-0243,job_rejection
Ticket #50732 updated: issue escalated to engineering. Ref:SUP-0303,support_ticket
Shipment delayed for order ORD-986899. New expected date: 14-Aug-2026. Ref:ORD-0154,order_shipping
We are delighted to welcome you to MapleWorks as a Data Analyst. Tentative joining date is 26-May-2026. Ref:JOB-0025,job_offer
Indeed Jobs: 10 new Data Analyst openings in Pune match your profile. Ref:JOB-0904,job_alerts
Your saved search 'Software Engineer Hyderabad' has 14 new opportunities today. Ref:JOB-1757,job_alerts
Shipment delayed for order ORD-648437. New expected date: 07-Nov-2026. Ref:ORD-0471,order_shipping
"Thank you for your interest in Zenith Analytics. After review, we are moving forward with other applicants at this time. Ref:JOB-0664",job_rejection
Your support request #35089 has been resolved. Please confirm closure. Ref:SUP-1477,support_ticket
Security check: enter code 115241 to continue sign-in. Ref:VER-1460,verification_otp
Reminder from Tax Department: pending document verification for case ID 47889. Ref:GOV-0565,government_official
"Monthly newsletter: top stories, feature highlights, and community updates. Ref:NEW-1552",newsletter_marketing
"Password change successful. If you did not perform this action, contact support now. Ref:ACC-0982",account_security
We are delighted to welcome you to BluePeak Labs as a Product Analyst. Tentative joining date is 26-Mar-2026. Ref:JOB-0301,job_offer
Happy birthday! Wishing you a wonderful year ahead. Ref:SOC-1114,social_personal
Support ticket #95342 has been created. Our team will get back shortly. Ref:SUP-0391,support_ticket
"Dear Candidate, we are pleased to offer you the role of Data Analyst at MapleWorks. Please review the attached compensation details and confirm by 04-Nov-2026. Ref:JOB-0138",job_offer
"Password change successful. If you did not perform this action, contact support now. Ref:ACC-0109",account_security
Library reminder: your borrowed book is due in 3 days. Ref:OTH-0827,other_ham
Naukri Jobs: 50 new QA Engineer openings in Pune match your profile. Ref:JOB-0381,job_alerts
Reminder from Tax Department: pending document verification for case ID 78290. Ref:GOV-0151,government_official
Community event registration confirmed. Ref:OTH-0444,other_ham
The position has now been filled. We encourage you to apply again for future openings. Ref:JOB-1635,job_rejection
Glassdoor Jobs: 60 new Data Analyst openings in Bengaluru match your profile. Ref:JOB-1100,job_alerts
Shipment delayed for order ORD-196795. New expected date: 22-Aug-2026. Ref:ORD-0844,order_shipping
Application update: your profile for Software Engineer has been shortlisted. Next interview round is planned this week. Ref:JOB-1820,job_update
Account alert: suspicious sign-in attempt blocked. Please review your recent activity. Ref:ACC-1936,account_security
Your support request #21926 has been resolved. Please confirm closure. Ref:SUP-1753,support_ticket
Account alert: suspicious sign-in attempt blocked. Please review your recent activity. Ref:ACC-1086,account_security
Reminder: 1:1 discussion starts in 30 minutes. Ref:MEE-0375,meeting_calendar
Security check: enter code 144860 to continue sign-in. Ref:VER-1422,verification_otp
Interview schedule: BluePeak Labs would like to meet you on 24-Apr-2026 at 11:30 AM. Please confirm availability. Ref:JOB-1830,job_update
"We detected a new login from a device in Hyderabad. If this wasn't you, reset your password immediately. Ref:ACC-1304",account_security
"Monthly newsletter: top stories, feature highlights, and community updates. Ref:NEW-1512",newsletter_marketing
Interview schedule: Aster Digital would like to meet you on 24-Jun-2026 at 11:30 AM. Please confirm availability. Ref:JOB-0684,job_update
Library reminder: your borrowed book is due in 3 days. Ref:OTH-1523,other_ham
Account alert: suspicious sign-in attempt blocked. Please review your recent activity. Ref:ACC-1907,account_security
"Monthly newsletter: top stories, feature highlights, and community updates. Ref:NEW-1610",newsletter_marketing
Glassdoor Jobs: 17 new ML Engineer openings in Delhi match your profile. Ref:JOB-1858,job_alerts
Invoice INV-89645 for INR 208628 has been generated. Ref:FIN-0228,financial_transaction
Shipment delayed for order ORD-629858. New expected date: 16-Jul-2026. Ref:ORD-0014,order_shipping
"We detected a new login from a device in Hyderabad. If this wasn't you, reset your password immediately. Ref:ACC-1179",account_security
Congratulations! You have been selected for the Data Analyst position at Zenith Analytics. Kindly sign and return the offer letter. Ref:JOB-0338,job_offer
"Dear Candidate, we are pleased to offer you the role of Product Analyst at MapleWorks. Please review the attached compensation details and confirm by 23-Mar-2026. Ref:JOB-1753",job_offer
Payment receipt: INR 199522 paid to Netflix. Reference ID REF402907. Ref:FIN-0572,financial_transaction
Use OTP 584450 to complete account verification. Ref:VER-0396,verification_otp
"This week at Aster Digital: product updates, release notes, and upcoming webinars. Ref:NEW-1516",newsletter_marketing
"Dear Candidate, we are pleased to offer you the role of Software Engineer at Orion Tech. Please review the attached compensation details and confirm by 25-Nov-2026. Ref:JOB-1029",job_offer
Your order ORD-232622 has been shipped via FedEx. Expected delivery by 16-Sep-2026. Ref:ORD-0294,order_shipping
Your order ORD-790417 has been shipped via India Post. Expected delivery by 01-Aug-2026. Ref:ORD-0042,order_shipping
The position has now been filled. We encourage you to apply again for future openings. Ref:JOB-0784,job_rejection
Your order ORD-943586 has been shipped via Blue Dart. Expected delivery by 19-Apr-2026. Ref:ORD-1532,order_shipping
"We appreciate your effort during interviews. Unfortunately, your application for Product Analyst was not selected. Ref:JOB-1871",job_rejection
Application update: your profile for Software Engineer has been shortlisted. Next interview round is planned this week. Ref:JOB-0607,job_update
Transport Authority: your application reference 65828 has been successfully processed. Ref:GOV-0856,government_official
Indeed recommendation: recruiters hiring for Software Engineer are actively viewing your profile this week. Ref:JOB-1682,job_alerts
Calendar invite: Weekly planning meeting on 05-Jun-2026 at 3:00 PM. Ref:MEE-0450,meeting_calendar
Family update: dinner is planned for Sunday evening. Ref:SOC-0344,social_personal
Support ticket #28526 has been created. Our team will get back shortly. Ref:SUP-1002,support_ticket
Citizen Services: your application reference 15678 has been successfully processed. Ref:GOV-0551,government_official
"Dear Candidate, we are pleased to offer you the role of QA Engineer at Aster Digital. Please review the attached compensation details and confirm by 04-Jan-2026. Ref:JOB-1251",job_offer
Reminder: 1:1 discussion starts in 30 minutes. Ref:MEE-0748,meeting_calendar
Special campaign: save 48% on annual subscription this weekend. Ref:NEW-1805,newsletter_marketing
"We appreciate your effort during interviews. Unfortunately, your application for Backend Developer was not selected. Ref:JOB-1839",job_rejection
